model,data,preprocessing,text_embedding,lan_chay,accuracy_score,f1_score
trans,uit-vsfc,1,ko_param,5,0.9593,0.8654
trans,uit-vihsd,0,ko_param,1,0.8812,0.6481
trans,uit-vihsd,0,ko_param,2,0.8863,0.6611
trans,uit-vihsd,0,ko_param,3,0.8827,0.6425
trans,uit-vihsd,0,ko_param,4,0.885,0.6619
trans,uit-vihsd,0,ko_param,5,0.8892,0.6662
trans,uit-vsmec,0,ko_param,1,0.5746,0.5446
trans,uit-vsmec,0,ko_param,2,0.5648,0.5473
trans,uit-vsmec,0,ko_param,3,0.5693,0.5568
trans,uit-vsmec,0,ko_param,4,0.5644,0.5408
trans,uit-vsmec,0,ko_param,5,0.5628,0.5371
cnn,uit-vihsd,1,cv,1,0.822,0.5811
cnn,uit-vihsd,1,cv,2,0.8321,0.5741
cnn,uit-vihsd,1,cv,3,0.8388,0.592
cnn,uit-vihsd,1,cv,4,0.8373,0.5921
cnn,uit-vihsd,1,cv,5,0.8293,0.5844
cnn,uit-vsmec,1,cv,1,0.4966,0.4875
cnn,uit-vsmec,1,cv,2,0.5114,0.5088
cnn,uit-vsmec,1,cv,3,0.5035,0.4903
cnn,uit-vsmec,1,cv,4,0.4903,0.4969
cnn,uit-vsmec,1,cv,5,0.4797,0.4887
cnn,uit-vsfc,1,cv,1,0.8487,0.7266
cnn,uit-vsfc,1,cv,2,0.8315,0.7301
cnn,uit-vsfc,1,cv,3,0.8409,0.7288
cnn,uit-vsfc,1,cv,4,0.8366,0.7296
cnn,uit-vsfc,1,cv,5,0.8452,0.7318
cnn,uit-vihsd,0,cv,1,0.8211,0.5943
cnn,uit-vihsd,0,cv,2,0.821,0.5975
cnn,uit-vihsd,0,cv,3,0.8162,0.5857
cnn,uit-vihsd,0,cv,4,0.8217,0.5976
cnn,uit-vihsd,0,cv,5,0.8219,0.5843
cnn,uit-vsmec,0,cv,1,0.5101,0.5127
cnn,uit-vsmec,0,cv,2,0.4718,0.4803
cnn,uit-vsmec,0,cv,3,0.4512,0.4822
cnn,uit-vsmec,0,cv,4,0.4658,0.4798
cnn,uit-vsmec,0,cv,5,0.5049,0.5032
cnn,uit-vihsd,1,tf-idf,1,0.7737,0.5022
cnn,uit-vihsd,1,tf-idf,2,0.7847,0.4942
cnn,uit-vihsd,1,tf-idf,3,0.7795,0.5165
cnn,uit-vihsd,1,tf-idf,4,0.7965,0.5117
cnn,uit-vihsd,1,tf-idf,5,0.7898,0.5047
cnn,uit-vsmec,1,tf-idf,1,0.462,0.4569
cnn,uit-vsmec,1,tf-idf,2,0.4739,0.4898
cnn,uit-vsmec,1,tf-idf,3,0.4845,0.4878
cnn,uit-vsmec,1,tf-idf,4,0.4876,0.4899
cnn,uit-vsmec,1,tf-idf,5,0.4758,0.4993
cnn,uit-vsfc,1,tf-idf,1,0.8291,0.6918
cnn,uit-vsfc,1,tf-idf,2,0.8323,0.6999
cnn,uit-vsfc,1,tf-idf,3,0.8367,0.7025
cnn,uit-vsfc,1,tf-idf,4,0.8317,0.7014
cnn,uit-vsfc,1,tf-idf,5,0.8391,0.6955
cnn,uit-vihsd,0,tf-idf,1,0.7887,0.5452
cnn,uit-vihsd,0,tf-idf,2,0.7936,0.5648
cnn,uit-vihsd,0,tf-idf,3,0.8048,0.5585
cnn,uit-vihsd,0,tf-idf,4,0.8216,0.5828
